"SCD"	"Transcripts"	"Gender"	"Age"	"Ethnicity"	"Education"	"Occupation"	"Languages"	"First.Lang"	"Partner.ID"	"Relationship"	"conv"	"ah"	"lah"	"lor"	"leh"	"hor"	"mah"	"meh"	"sia"
"3049-2"	"Same Room"	"M"	"2X"	"CHINESE"	"DIPLOMA"	"MILITARY"	"ENGLISH, CHINESE"	"ENGLISH"	"3049-1"	"FRIENDS"	"3049"	31	41	3	2	0	2	0	2

"3050-1"	"Same Room"	"M"	"2X"	"CHINESE"	"DIPLOMA"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3050-2"	"FRIENDS"	"3050"	13	25	2	3	0	0	0	3

"3050-2"	"Same Room"	"F"	"2X"	"CHINESE"	"DIPLOMA"	"ANALYST"	"ENGLISH, CHINESE"	"ENGLISH"	"3050-1"	"FRIENDS"	"3050"	35	80	8	9	0	0	1	1

"3051-1"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3051-2"	"FRIENDS"	"3051"	23	32	0	5	0	1	6	0

"3051-2"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH, CHINESE, OTHER"	"ENGLISH"	"3051-1"	"FRIENDS"	"3051"	25	37	0	1	0	0	0	0

"3052-1"	"Same Room"	"F"	"5X"	"CHINESE"	"A-LEVEL"	"MARKETING"	"ENGLISH, CHINESE"	"ENGLISH"	"3052-2"	"FAMILY"	"3052"	196	93	4	6	0	3	1	0

"3052-2"	"Same Room"	"F"	"2X"	"CHINESE"	"DIPLOMA"	"MARKETING"	"ENGLISH, CHINESE"	"ENGLISH"	"3052-1"	"FAMILY"	"3052"	104	152	4	2	1	7	1	2

"3053-1"	"Same Room"	"M"	"2X"	"CHINESE"	"BACHELOR"	"N/A"	"ENGLISH, CHINESE"	"ENGLISH"	"3053-2"	"PARTNER"	"3053"	69	74	40	15	0	3	14	13

"3053-2"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3053-1"	"PARTNER"	"3053"	53	194	28	14	1	3	12	4

"3054-1"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3054-2"	"FRIENDS"	"3054"	59	209	17	9	13	7	10	3

"3054-2"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"MEDIA"	"ENGLISH, CHINESE"	"ENGLISH"	"3054-1"	"FRIENDS"	"3054"	58	83	9	23	3	2	6	1

"3055-1"	"Same Room"	"F"	"2X"	"CHINESE"	"A-LEVEL"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3055-2"	"FRIENDS"	"3055"	52	97	12	18	0	0	1	2

"3055-2"	"Same Room"	"F"	"2X"	"CHINESE"	"A-LEVEL"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3055-1"	"FRIENDS"	"3055"	62	63	6	1	0	2	3	2

"3056-1"	"Same Room"	"F"	"4X"	"CHINESE"	"BACHELOR"	"N/A"	"ENGLISH, CHINESE"	"ENGLISH"	"3056-2"	"FRIENDS"	"3056"	5	1	5	1	4	0	0	0

"3056-2"	"Same Room"	"F"	"5X"	"CHINESE"	"O-LEVEL"	"N/A"	"ENGLISH, CHINESE"	"ENGLISH"	"3056-1"	"FRIENDS"	"3056"	71	16	2	5	7	1	0	0

"3057-1"	"Same Room"	"M"	"2X"	"CHINESE"	"DIPLOMA"	"STUDENT"	"ENGLISH"	"ENGLISH"	"3057-2"	"FRIENDS"	"3057"	101	52	1	2	0	0	5	0

"3057-2"	"Same Room"	"M"	"2X"	"CHINESE"	"DIPLOMA"	"STUDENT"	"ENGLISH"	"ENGLISH"	"3057-1"	"FRIENDS"	"3057"	47	38	4	0	0	0	0	1

"3058-1"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"UNEMPLOYED"	"ENGLISH, CHINESE"	"ENGLISH"	"3058-2"	"FRIENDS"	"3058"	115	210	33	21	5	5	8	2

"3058-2"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"N/A"	"ENGLISH, CHINESE"	"ENGLISH"	"3058-1"	"FRIENDS"	"3058"	62	179	37	20	10	8	4	6

"3059-1"	"Same Room"	"F"	"3X"	"INDIAN"	"BACHELOR"	"EDUCATOR"	"ENGLISH"	"ENGLISH"	"3059-2"	"FRIENDS"	"3059"	27	23	5	0	0	0	0	0

"3059-2"	"Same Room"	"F"	"3X"	"INDIAN"	"DIPLOMA"	"DESIGNER"	"ENGLISH"	"ENGLISH"	"3059-1"	"FRIENDS"	"3059"	13	9	1	0	0	0	0	0

"3060-1"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3060-2"	"FRIENDS"	"3060"	54	36	7	16	4	12	2	10

"3060-2"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3060-1"	"FRIENDS"	"3060"	60	31	4	5	2	0	0	1

"3061-1"	"Same Room"	"F"	"2X"	"INDIAN"	"BACHELOR"	"STUDENT"	"ENGLISH, TAMIL, CHINESE"	"ENGLISH"	"3061-2"	"PARTNER"	"3061"	31	18	6	2	0	4	0	0

"3061-2"	"Same Room"	"M"	"2X"	"CHINESE"	"BACHELOR"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3061-1"	"PARTNER"	"3061"	23	12	3	0	0	3	0	0

"3062-1"	"Same Room"	"F"	"2X"	"CHINESE"	"DIPLOMA"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3062-2"	"FRIENDS"	"3062"	32	8	8	9	0	0	1	1

"3062-2"	"Same Room"	"F"	"2X"	"CHINESE"	"DIPLOMA"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3062-1"	"FRIENDS"	"3062"	38	266	12	14	0	5	1	4

"3063-1"	"Same Room"	"F"	"2X"	"CHINESE"	"BACHELOR"	"MARKETING"	"ENGLISH, CHINESE"	"ENGLISH"	"3063-2"	"PARTNER"	"3063"	5	2	0	0	0	0	0	0

